epoch train_acc1 train_acc2 test_acc1 test_acc2
62 40.3505608974359 40.48677884615385 61.818910256410255 61.52844551282051
63 40.422676282051285 40.124198717948715 61.818910256410255 61.037660256410255
64 40.66706730769231 40.57491987179487 62.1494391025641 62.86057692307692
65 40.735176282051285 40.314503205128204 62.52003205128205 62.790464743589745
66 40.76722756410256 40.59495192307692 61.66866987179487 61.65865384615385
67 40.66907051282051 40.19831730769231 61.10777243589744 62.43990384615385
68 40.5869391025641 40.625 63.000801282051285 62.87059294871795
69 40.572916666666664 40.94551282051282 61.00761217948718 62.239583333333336
70 40.66706730769231 40.63902243589744 61.50841346153846 62.239583333333336
71 40.76322115384615 40.89342948717949 61.13782051282051 62.22956730769231
72 40.68709935897436 40.45873397435897 60.49679487179487 61.408253205128204
73 40.63701923076923 40.61899038461539 62.01923076923077 62.28966346153846
74 40.71113782051282 40.40064102564103 60.91746794871795 62.46995192307692
75 40.68309294871795 40.96554487179487 61.428285256410255 62.5400641025641
76 40.97355769230769 40.625 61.93910256410256 61.93910256410256
77 41.02964743589744 40.657051282051285 59.685496794871796 61.71875
78 41.00961538461539 40.79527243589744 61.68870192307692 60.76722756410256
79 40.959535256410255 41.03565705128205 61.88902243589744 62.19951923076923
80 41.21394230769231 41.11778846153846 61.14783653846154 62.580128205128204
81 40.905448717948715 40.939503205128204 63.23116987179487 63.04086538461539
82 41.13782051282051 40.87339743589744 61.39823717948718 62.34975961538461
83 41.07572115384615 41.00560897435897 62.86057692307692 63.06089743589744
84 41.16386217948718 40.959535256410255 63.05088141025641 62.369791666666664
85 41.41426282051282 41.26402243589744 60.99759615384615 61.979166666666664
86 41.25400641025641 41.27003205128205 61.7588141025641 62.48998397435897
87 41.37620192307692 41.41626602564103 62.74038461538461 63.42147435897436
88 41.282051282051285 41.07371794871795 61.47836538461539 62.990785256410255
89 41.40625 41.328125 61.247996794871796 62.77043269230769
90 41.45032051282051 41.50040064102564 63.09094551282051 63.19110576923077
91 41.482371794871796 41.58253205128205 62.760416666666664 62.27964743589744
92 41.81290064102564 41.484375 61.98918269230769 63.31129807692308
93 41.73677884615385 41.87900641025641 63.31129807692308 63.30128205128205
94 41.432291666666664 41.67467948717949 63.61177884615385 63.55168269230769
95 41.640625 41.74278846153846 62.64022435897436 63.782051282051285
96 41.61258012820513 41.68870192307692 63.68189102564103 62.75040064102564
97 41.72676282051282 41.921073717948715 63.94230769230769 63.19110576923077
98 41.84695512820513 41.63060897435897 63.04086538461539 62.610176282051285
